"artist","song","explicit","year","popularity","speechiness","tempo","loudness","acousticness","valence"
"Eve","Gangsta Lovin'",TRUE,2002,58,0.0608,94.332,-3.523,0.0619,0.827
"Disturbing Tha Peace","Move Bitch",TRUE,2002,59,0.133,177.894,-5.692,0.245,0.191
"Khia","My Neck, My Back (Lick It)",TRUE,2015,59,0.13,102.072,-4.234,0.0296,0.71
"Tweet","Oops (Oh My) [feat. Missy Elliott]",TRUE,2002,64,0.29,159.963,-8.786,0.233,0.775
"Nelly","Hot In Herre",TRUE,2002,75,0.12,107.075,-4.753,0.206,0.912
"Gareth Gates","Anyone of Us (Stupid Mistake)",FALSE,2003,53,0.0261,106.986,-6.061,0.285,0.654
"Christina Aguilera","Dirrty (feat. Redman)",FALSE,2002,68,0.322,99.931,-3.073,0.107,0.436
"B2K","Uh Huh",FALSE,2002,49,0.0688,99.699,-4.955,0.0881,0.908
"Sugababes","Freak Like Me",FALSE,2002,45,0.0925,91.868,-3.451,0.0996,0.387
"Dirty Vegas","Days Go By",FALSE,2002,48,0.0688,126.99,-8.274,0.0499,0.309
"Fat Joe","What's Luv? (feat. Ja-Rule & Ashanti)",TRUE,2001,73,0.0598,93.955,-5.074,0.0219,0.919
"Liberty X","Just A Little",FALSE,2019,43,0.0574,103.887,-6.554,0.00616,0.742
"No Doubt","Hella Good",FALSE,2001,26,0.035,115.142,-3.954,0.0135,0.844
"LL Cool J","Luv U Better",FALSE,2002,2,0.239,95.022,-3.9,0.232,0.721
"Red Hot Chili Peppers","Can't Stop",FALSE,2002,80,0.0456,91.455,-3.442,0.0179,0.875
"Musiq Soulchild","Halfcrazy",FALSE,2002,58,0.18,101.955,-6.057,0.462,0.418
"Sean Paul","Gimme the Light",TRUE,2002,59,0.0525,107.288,-5.529,0.141,0.923
"Faith Evans","I Love You",FALSE,2001,53,0.0926,168.004,-4.062,0.00981,0.567
"Charli Baltimore","Down 4 U",TRUE,2002,47,0.32,83.133,-7.442,0.252,0.519
"Kylie Minogue","Love at First Sight",FALSE,2001,55,0.0428,124.994,-6.066,0.0288,0.48
"N.O.R.E.","Nothin'",TRUE,2002,58,0.151,97.035,-6.118,0.317,0.742
"Gareth Gates","Unchained Melody",FALSE,2003,35,0.0277,106.52,-8.049,0.255,0.208
"Diddy","I Need a Girl (Pt. 1) [feat. Usher & Loon]",FALSE,2005,63,0.208,89.279,-5.758,0.397,0.761
"Big Brovaz","Nu Flow",FALSE,2001,45,0.106,148.062,-8.718,0.0903,0.784
"No Doubt","Hey Baby",FALSE,2001,24,0.125,93.63,-3.557,0.0602,0.746
"Ashanti","Baby",TRUE,2002,55,0.223,157.596,-5.757,0.0084,0.46
"Sophie Ellis-Bextor","Murder On The Dancefloor",FALSE,2002,62,0.0309,117.31,-5.285,0.00312,0.863
"Justin Timberlake","Like I Love You",FALSE,2002,62,0.0646,114.964,-4.927,0.0439,0.9
"Mary J. Blige","Rainy Dayz",FALSE,2001,32,0.229,68.942,-6.997,0.195,0.533
"A1","Caught in the Middle",FALSE,2001,53,0.034,96.072,-5.122,0.0524,0.572
"Eminem","Cleanin' Out My Closet",TRUE,2002,71,0.174,148.015,-4.753,0.0687,0.87
"Ashanti","Happy",TRUE,2002,61,0.0289,89.488,-6.553,0.241,0.695
"Delta Goodrem","Born to Try",FALSE,2003,54,0.0284,133.838,-6.813,0.246,0.336
"P!nk","Get the Party Started",FALSE,2001,68,0.046,128.93,-3.267,0.0011,0.96
"Alicia Keys","A Woman's Worth",FALSE,2001,52,0.158,75.09,-8.323,0.333,0.495
"Daniel Bedingfield","Gotta Get Thru This - D'N'D Radio Edit",FALSE,2002,56,0.0586,133.592,-5.076,0.0862,0.924
"Coldplay","Clocks",FALSE,2002,79,0.0279,130.97,-7.215,0.599,0.255
"Missy Elliott","Work It",TRUE,2002,70,0.283,101.868,-5.603,0.0778,0.584
"Ronan Keating","If Tomorrow Never Comes",FALSE,2002,60,0.028,79.01,-6.136,0.333,0.27
"Big Tymers","Still Fly",TRUE,2002,64,0.162,177.928,-3.538,0.0302,0.56
"Creed","My Sacrifice",FALSE,2001,69,0.0504,146.349,-6.035,0.000101,0.257
"Ja Rule","Always On Time",TRUE,2001,73,0.199,96.673,-6.104,0.208,0.839
"Ashanti","Foolish",TRUE,2002,70,0.0532,90.119,-5.763,0.347,0.707
"Avril Lavigne","Sk8er Boi",FALSE,2002,75,0.0482,149.937,-4.417,6.79e-05,0.484
"DJ Sammy","Heaven",FALSE,2002,63,0.0548,137.965,-5.601,0.0011,0.601
"Britney Spears","I'm Not a Girl, Not Yet a Woman",FALSE,2001,58,0.0245,78.996,-6.857,0.579,0.418
"Cam’ron","Oh Boy",TRUE,2002,67,0.145,83.014,-5.586,0.0216,0.828
