artist,song,explicit,year,popularity,speechiness,tempo
DMX,X Gon' Give It To Ya,TRUE,2007,70,0.183,95.027
Evanescence,Bring Me To Life,FALSE,2003,79,0.0698,94.612
Sugababes,Hole In The Head,FALSE,2003,57,0.0309,125.011
Craig David,Rise & Fall (feat. Sting),FALSE,2002,59,0.0586,83.373
Three Days Grace,I Hate Everything About You,FALSE,2003,72,0.0421,89.342
Lil Jon & The East Side Boyz,Get Low,FALSE,2002,47,0.0396,101.043
B2K,"Bump, Bump, Bump (feat. P. Diddy)",FALSE,2003,62,0.21,95.508
Baby Bash,Suga Suga,FALSE,2003,73,0.268,82.331
Aaliyah,Miss You - Main,FALSE,2002,36,0.0375,109.598
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,FALSE,2003,59,0.089,120.046
Blue,Sorry Seems To Be The Hardest Word,FALSE,2004,57,0.0305,78.955
Delta Goodrem,Lost Without You,FALSE,2003,54,0.0283,146.301
Justin Timberlake,Rock Your Body,FALSE,2002,76,0.141,100.972
The White Stripes,Seven Nation Army,FALSE,2003,3,0.0805,123.904
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,TRUE,2003,54,0.307,84.038
Beyoncé,Baby Boy (feat. Sean Paul),FALSE,2003,63,0.22,91.025
Lil' Kim,Magic Stick,TRUE,2019,47,0.272,92.98
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),FALSE,2002,61,0.192,98.989
Nickelback,Someday,FALSE,2003,68,0.0391,163.118
Blue,U Make Me Wanna - Radio Edit,FALSE,2003,48,0.0329,158.108
Ashanti,Rain On Me,FALSE,2003,50,0.0337,83.701
Trapt,Headstrong,TRUE,2002,72,0.117,184.981
Simply Red,Sunrise,FALSE,2008,58,0.029,105.987
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",FALSE,2003,61,0.362,199.958
Girls Aloud,Sound Of The Underground,FALSE,2003,58,0.0365,163.944
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,FALSE,2016,52,0.295,87.025
Room 5,Make Luv,FALSE,2003,57,0.116,124.814
Fatman Scoop,Be Faithful,TRUE,2009,49,0.295,101.129
Limp Bizkit,Behind Blue Eyes,FALSE,2003,70,0.0271,120.315
Sugababes,Too Lost In You,FALSE,2003,58,0.0287,98.014
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",TRUE,2003,57,0.2,81.008
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,TRUE,2003,67,0.13,102.009
Chingy,Right Thurr,TRUE,2003,69,0.253,92.074
Eminem,Sing For The Moment,TRUE,2002,71,0.137,163.961
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,TRUE,2003,48,0.339,104.946
Mýa,My Love Is Like...Wo - Main Mix,FALSE,2003,48,0.109,132.817
50 Cent,21 Questions,TRUE,2003,72,0.299,92.729
Nelly,Air Force Ones,TRUE,2002,61,0.317,164.062
Missy Elliott,Gossip Folks (feat. Ludacris),TRUE,2002,57,0.505,121.732
Girls Aloud,Jump,FALSE,2003,60,0.0346,134.465
Ultrabeat,Pretty Green Eyes - Radio Edit,FALSE,2003,59,0.043,139.993
Christina Aguilera,Fighter,FALSE,2002,67,0.201,188.899
Frankie J,Don't Wanna Try,FALSE,2003,49,0.0348,130.127
Snoop Dogg,Beautiful,TRUE,2005,67,0.132,101.025
Floetry,Say Yes,FALSE,2002,57,0.0743,117.901
Ginuwine,In Those Jeans,TRUE,2003,59,0.0776,127.683
Electric Six,Danger! High Voltage - Soulchild Radio Mix,FALSE,2003,0,0.0302,123.005
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,FALSE,2003,38,0.138,130.036
Ludacris,Stand Up,TRUE,2003,57,0.349,99.057
Nas,I Can,FALSE,2002,58,0.182,95.313
3 Doors Down,When I'm Gone,FALSE,2002,67,0.0284,148.095
Tyrese,How You Gonna Act Like That,FALSE,2002,60,0.0457,112.913
Justin Timberlake,Cry Me a River,FALSE,2002,73,0.183,73.898
Westlife,Mandy,FALSE,2003,57,0.0278,105.678
No Doubt,It's My Life,FALSE,2003,60,0.0282,126.326
Amanda Perez,Angel,FALSE,2003,48,0.0473,143.772
JAY-Z,Excuse Me Miss,TRUE,2002,56,0.286,92.849
Kelly Rowland,Stole,FALSE,2002,54,0.0594,79.993
Ashanti,Rock Wit U (Awww Baby),FALSE,2003,65,0.0582,94.998
Junior Senior,Move Your Feet,FALSE,2002,67,0.0803,118.877
Audioslave,Like a Stone,FALSE,2002,75,0.0276,107.849
Sean Paul,Like Glue,FALSE,2002,61,0.319,97.917
Jaheim,Put That Woman First,TRUE,2002,55,0.132,78.935
Jennifer Lopez,All I Have (feat. LL Cool J),FALSE,2002,60,0.107,83.066
Monica,So Gone,FALSE,2003,64,0.0981,81.975
Dido,White Flag,FALSE,2003,44,0.0401,169.951
The Roots,The Seed (2.0),TRUE,2002,63,0.0357,111.121
Chingy,Holidae In,TRUE,2003,61,0.181,153.067
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),TRUE,2003,61,0.458,192.082
Kelly Clarkson,Miss Independent,FALSE,2003,47,0.137,175.943
Ja Rule,Mesmerize,TRUE,2002,61,0.199,90.079
Matchbox Twenty,Unwell,FALSE,2002,63,0.0403,80.718
Outkast,The Way You Move (feat. Sleepy Brown),TRUE,2003,66,0.0464,125.999
